Filename	Start_Time	Caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:01:17	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:01:23	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:01:50	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:01:54	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:02:09	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:02:18	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:02:31	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:02:36	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:02:41	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:02:45	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:02:46	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:02:49	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:02:53	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:03:05	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:03:18	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:03:23	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:03:29	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:03:32	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:03:46	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:04:03	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:04:09	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:04:14	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:04:18	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:04:26	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:04:28	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:04:43	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:05:00	No caption
